polsys_autoc_w124,econ_sit_w124,newssource_e_w124,newsuse_plat_a_w124,newsuse_plat_b_w124,newsuse_plat_c_w124,newsuse_plat_d_w124,newsuse_plat_e_w124,f_agecat,f_gender,f_educcat,f_racecmb,f_partysum_final,f_inc_tier2,autoc_support,autoc_support_cat,econ_percep,sm_pref_basicfacts,sm_pref_opinions,sm_pref_indepth,sm_pref_uptodate,sm_pref_impactsr,sm_pref_index,sm_freq,sm_freq_cat,age,race_1,pol_lean,income,gender,gender2
4,very bad,2,1,2,1,1,1,2,2,2,1,1,2,0,Does not support,Bad,0,2,0,0,0,2,4,Rarely,30-49,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,somewhat bad,2,3,3,1,4,4,4,2,1,1,1,2,0,Does not support,Bad,1,1,0,0,0,2,4,Rarely,65+,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
3,somewhat bad,3,3,3,1,1,1,3,2,1,3,2,3,0,Does not support,Bad,1,1,0,0,0,2,3,Sometimes,50-64,Non-White,"Democrat, or leans Democrat",Upper income,Woman,Woman/Other
3,somewhat bad,2,2,2,2,2,2,3,1,2,1,1,1,0,Does not support,Bad,2,2,2,2,2,10,4,Rarely,50-64,White,"Republican, or leans Republican",Lower income,Man,Man
3,somewhat good,3,1,1,1,1,1,3,1,2,1,2,2,0,Does not support,Good,0,0,0,0,0,0,3,Sometimes,50-64,White,"Democrat, or leans Democrat",Middle income,Man,Man
4,somewhat bad,2,3,3,1,1,2,4,1,1,4,1,2,0,Does not support,Bad,1,1,0,0,2,4,4,Rarely,65+,Non-White,"Republican, or leans Republican",Middle income,Man,Man
4,very good,2,1,1,1,1,1,3,1,2,1,1,2,0,Does not support,Good,0,0,0,0,0,0,4,Rarely,50-64,White,"Republican, or leans Republican",Middle income,Man,Man
3,very bad,3,1,1,1,1,1,2,1,1,3,1,2,0,Does not support,Bad,0,0,0,0,0,0,3,Sometimes,30-49,Non-White,"Republican, or leans Republican",Middle income,Man,Man
2,very good,2,1,1,1,1,1,4,2,2,1,1,2,1,Supports,Good,0,0,0,0,0,0,4,Rarely,65+,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,somewhat bad,1,1,1,1,1,1,3,2,2,1,1,1,0,Does not support,Bad,0,0,0,0,0,0,5,Never,50-64,White,"Republican, or leans Republican",Lower income,Woman,Woman/Other
4,very bad,3,3,3,3,3,3,4,2,2,2,2,2,0,Does not support,Bad,1,1,1,1,1,5,3,Sometimes,65+,Non-White,"Democrat, or leans Democrat",Middle income,Woman,Woman/Other
2,somewhat bad,2,3,3,3,3,1,3,2,2,1,2,1,1,Supports,Bad,1,1,1,1,0,4,4,Rarely,50-64,White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
4,somewhat good,3,4,1,3,3,4,4,1,3,1,2,2,0,Does not support,Good,0,0,1,1,0,2,3,Sometimes,65+,White,"Democrat, or leans Democrat",Middle income,Man,Man
1,somewhat bad,3,1,3,1,1,1,3,1,2,5,1,3,1,Supports,Bad,0,1,0,0,0,1,3,Sometimes,50-64,Non-White,"Republican, or leans Republican",Upper income,Man,Man
3,very bad,2,3,3,1,3,3,4,1,3,1,1,2,0,Does not support,Bad,1,1,0,1,1,4,4,Rarely,65+,White,"Republican, or leans Republican",Middle income,Man,Man
3,somewhat good,3,1,2,1,1,2,3,2,3,1,2,2,0,Does not support,Good,0,2,0,0,2,4,3,Sometimes,50-64,White,"Democrat, or leans Democrat",Middle income,Woman,Woman/Other
4,somewhat good,2,4,1,1,1,1,2,2,3,3,2,3,0,Does not support,Good,0,0,0,0,0,0,4,Rarely,30-49,Non-White,"Democrat, or leans Democrat",Upper income,Woman,Woman/Other
2,somewhat good,2,4,4,4,4,4,2,2,3,1,2,1,1,Supports,Good,0,0,0,0,0,0,4,Rarely,30-49,White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
4,very bad,1,3,3,3,3,3,3,2,1,1,1,1,0,Does not support,Bad,1,1,1,1,1,5,5,Never,50-64,White,"Republican, or leans Republican",Lower income,Woman,Woman/Other
3,somewhat good,3,1,1,1,1,1,3,2,1,1,2,3,0,Does not support,Good,0,0,0,0,0,0,3,Sometimes,50-64,White,"Democrat, or leans Democrat",Upper income,Woman,Woman/Other
4,very bad,3,1,4,1,3,3,4,1,3,1,1,2,0,Does not support,Bad,0,0,0,1,1,2,3,Sometimes,65+,White,"Republican, or leans Republican",Middle income,Man,Man
4,somewhat bad,3,4,3,4,3,3,4,2,1,1,1,2,0,Does not support,Bad,0,1,0,1,1,3,3,Sometimes,65+,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
3,somewhat bad,2,1,1,3,4,4,3,1,1,3,1,1,0,Does not support,Bad,0,0,1,0,0,1,4,Rarely,50-64,Non-White,"Republican, or leans Republican",Lower income,Man,Man
2,somewhat bad,3,3,2,1,1,2,1,1,1,1,2,2,1,Supports,Bad,1,2,0,0,2,5,3,Sometimes,18-29,White,"Democrat, or leans Democrat",Middle income,Man,Man
4,very bad,3,3,3,3,3,3,2,1,1,2,2,2,0,Does not support,Bad,1,1,1,1,1,5,3,Sometimes,30-49,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
4,somewhat good,2,1,1,1,1,1,4,2,2,1,1,2,0,Does not support,Good,0,0,0,0,0,0,4,Rarely,65+,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,very bad,3,1,1,3,3,1,4,2,3,4,1,1,0,Does not support,Bad,0,0,1,1,0,2,3,Sometimes,65+,Non-White,"Republican, or leans Republican",Lower income,Woman,Woman/Other
3,very bad,2,3,3,3,3,3,4,1,1,1,1,2,0,Does not support,Bad,1,1,1,1,1,5,4,Rarely,65+,White,"Republican, or leans Republican",Middle income,Man,Man
2,somewhat bad,2,1,1,1,1,1,2,2,2,2,2,1,1,Supports,Bad,0,0,0,0,0,0,4,Rarely,30-49,Non-White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
4,very bad,2,3,3,3,1,3,4,1,1,1,1,3,0,Does not support,Bad,1,1,1,0,1,4,4,Rarely,65+,White,"Republican, or leans Republican",Upper income,Man,Man
3,very bad,3,1,1,1,1,1,4,1,2,1,1,3,0,Does not support,Bad,0,0,0,0,0,0,3,Sometimes,65+,White,"Republican, or leans Republican",Upper income,Man,Man
3,somewhat bad,3,1,2,1,2,3,2,1,1,1,1,2,0,Does not support,Bad,0,2,0,2,1,5,3,Sometimes,30-49,White,"Republican, or leans Republican",Middle income,Man,Man
4,somewhat bad,2,2,1,4,2,4,1,1,2,1,1,1,0,Does not support,Bad,2,0,0,2,0,4,4,Rarely,18-29,White,"Republican, or leans Republican",Lower income,Man,Man
4,somewhat good,2,1,3,1,1,1,2,1,2,1,2,2,0,Does not support,Good,0,1,0,0,0,1,4,Rarely,30-49,White,"Democrat, or leans Democrat",Middle income,Man,Man
2,somewhat bad,3,3,3,3,3,3,2,2,2,1,2,1,1,Supports,Bad,1,1,1,1,1,5,3,Sometimes,30-49,White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
3,somewhat good,1,3,3,3,3,3,2,1,2,1,2,2,0,Does not support,Good,1,1,1,1,1,5,5,Never,30-49,White,"Democrat, or leans Democrat",Middle income,Man,Man
3,very bad,2,2,2,2,2,2,2,1,2,4,1,3,0,Does not support,Bad,2,2,2,2,2,10,4,Rarely,30-49,Non-White,"Republican, or leans Republican",Upper income,Man,Man
3,somewhat bad,2,3,3,1,1,1,3,1,1,2,2,1,0,Does not support,Bad,1,1,0,0,0,2,4,Rarely,50-64,Non-White,"Democrat, or leans Democrat",Lower income,Man,Man
2,somewhat good,3,3,3,3,3,3,2,1,2,5,2,1,1,Supports,Good,1,1,1,1,1,5,3,Sometimes,30-49,Non-White,"Democrat, or leans Democrat",Lower income,Man,Man
3,very bad,2,1,1,1,1,1,2,2,1,5,2,1,0,Does not support,Bad,0,0,0,0,0,0,4,Rarely,30-49,Non-White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
3,somewhat bad,3,1,1,1,3,1,2,2,2,1,1,1,0,Does not support,Bad,0,0,0,1,0,1,3,Sometimes,30-49,White,"Republican, or leans Republican",Lower income,Woman,Woman/Other
4,very bad,2,1,1,2,2,1,4,2,2,1,2,1,0,Does not support,Bad,0,0,2,2,0,4,4,Rarely,65+,White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
4,very good,3,1,1,1,1,1,3,1,2,2,2,2,0,Does not support,Good,0,0,0,0,0,0,3,Sometimes,50-64,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
4,somewhat good,3,3,3,3,3,3,3,2,1,1,2,2,0,Does not support,Good,1,1,1,1,1,5,3,Sometimes,50-64,White,"Democrat, or leans Democrat",Middle income,Woman,Woman/Other
3,somewhat bad,3,1,1,1,3,3,4,1,2,1,1,2,0,Does not support,Bad,0,0,0,1,1,2,3,Sometimes,65+,White,"Republican, or leans Republican",Middle income,Man,Man
4,somewhat bad,3,1,3,1,1,2,4,2,1,1,1,2,0,Does not support,Bad,0,1,0,0,2,3,3,Sometimes,65+,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,very bad,3,1,3,1,1,3,4,1,2,4,1,2,0,Does not support,Bad,0,1,0,0,1,2,3,Sometimes,65+,Non-White,"Republican, or leans Republican",Middle income,Man,Man
4,very bad,1,1,1,1,3,3,3,2,1,1,2,1,0,Does not support,Bad,0,0,0,1,1,2,5,Never,50-64,White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
4,somewhat bad,3,3,2,3,2,3,2,1,1,1,1,3,0,Does not support,Bad,1,2,1,2,1,7,3,Sometimes,30-49,White,"Republican, or leans Republican",Upper income,Man,Man
3,somewhat bad,2,3,3,3,3,2,4,2,1,1,1,2,0,Does not support,Bad,1,1,1,1,2,6,4,Rarely,65+,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
2,somewhat good,3,3,3,1,1,3,3,1,2,2,2,2,1,Supports,Good,1,1,0,0,1,3,3,Sometimes,50-64,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
3,somewhat bad,1,3,3,3,3,3,2,1,2,1,2,2,0,Does not support,Bad,1,1,1,1,1,5,5,Never,30-49,White,"Democrat, or leans Democrat",Middle income,Man,Man
3,somewhat bad,3,1,2,1,3,1,2,2,1,1,2,3,0,Does not support,Bad,0,2,0,1,0,3,3,Sometimes,30-49,White,"Democrat, or leans Democrat",Upper income,Woman,Woman/Other
4,somewhat good,2,1,4,1,3,3,2,2,1,1,1,3,0,Does not support,Good,0,0,0,1,1,2,4,Rarely,30-49,White,"Republican, or leans Republican",Upper income,Woman,Woman/Other
4,somewhat bad,3,1,3,3,3,1,3,1,2,2,2,3,0,Does not support,Bad,0,1,1,1,0,3,3,Sometimes,50-64,Non-White,"Democrat, or leans Democrat",Upper income,Man,Man
4,somewhat bad,3,3,1,1,1,1,4,1,1,1,1,3,0,Does not support,Bad,1,0,0,0,0,1,3,Sometimes,65+,White,"Republican, or leans Republican",Upper income,Man,Man
4,somewhat bad,3,2,4,1,3,4,1,1,1,1,1,2,0,Does not support,Bad,2,0,0,1,0,3,3,Sometimes,18-29,White,"Republican, or leans Republican",Middle income,Man,Man
4,somewhat bad,2,3,3,3,3,3,2,1,2,1,2,1,0,Does not support,Bad,1,1,1,1,1,5,4,Rarely,30-49,White,"Democrat, or leans Democrat",Lower income,Man,Man
1,very bad,2,3,3,3,3,3,4,1,2,1,1,3,1,Supports,Bad,1,1,1,1,1,5,4,Rarely,65+,White,"Republican, or leans Republican",Upper income,Man,Man
3,somewhat bad,3,1,4,1,1,4,3,2,2,1,2,2,0,Does not support,Bad,0,0,0,0,0,0,3,Sometimes,50-64,White,"Democrat, or leans Democrat",Middle income,Woman,Woman/Other
4,somewhat good,3,1,1,1,1,1,2,1,2,1,2,2,0,Does not support,Good,0,0,0,0,0,0,3,Sometimes,30-49,White,"Democrat, or leans Democrat",Middle income,Man,Man
4,very bad,3,3,3,3,3,3,2,1,1,1,1,2,0,Does not support,Bad,1,1,1,1,1,5,3,Sometimes,30-49,White,"Republican, or leans Republican",Middle income,Man,Man
3,somewhat bad,2,3,3,3,3,3,2,2,1,1,2,2,0,Does not support,Bad,1,1,1,1,1,5,4,Rarely,30-49,White,"Democrat, or leans Democrat",Middle income,Woman,Woman/Other
3,somewhat bad,2,3,3,3,3,3,2,2,2,1,1,2,0,Does not support,Bad,1,1,1,1,1,5,4,Rarely,30-49,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,somewhat bad,3,1,1,1,3,1,2,1,2,1,1,3,0,Does not support,Bad,0,0,0,1,0,1,3,Sometimes,30-49,White,"Republican, or leans Republican",Upper income,Man,Man
4,somewhat bad,1,1,2,1,2,2,2,1,1,1,2,2,0,Does not support,Bad,0,2,0,2,2,6,5,Never,30-49,White,"Democrat, or leans Democrat",Middle income,Man,Man
3,somewhat bad,3,3,3,3,3,3,2,1,3,1,1,2,0,Does not support,Bad,1,1,1,1,1,5,3,Sometimes,30-49,White,"Republican, or leans Republican",Middle income,Man,Man
2,very bad,2,3,3,3,3,3,2,2,3,1,2,1,1,Supports,Bad,1,1,1,1,1,5,4,Rarely,30-49,White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
4,very bad,3,1,1,1,2,3,2,1,1,1,2,2,0,Does not support,Bad,0,0,0,2,1,3,3,Sometimes,30-49,White,"Democrat, or leans Democrat",Middle income,Man,Man
4,very bad,3,1,1,1,1,1,2,1,2,4,2,2,0,Does not support,Bad,0,0,0,0,0,0,3,Sometimes,30-49,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
4,somewhat bad,3,1,4,1,1,3,2,1,1,4,2,3,0,Does not support,Bad,0,0,0,0,1,1,3,Sometimes,30-49,Non-White,"Democrat, or leans Democrat",Upper income,Man,Man
3,very bad,2,2,2,2,2,2,4,1,2,4,1,2,0,Does not support,Bad,2,2,2,2,2,10,4,Rarely,65+,Non-White,"Republican, or leans Republican",Middle income,Man,Man
3,somewhat bad,2,2,2,2,2,2,3,1,3,5,2,1,0,Does not support,Bad,2,2,2,2,2,10,4,Rarely,50-64,Non-White,"Democrat, or leans Democrat",Lower income,Man,Man
4,somewhat good,2,2,2,2,2,2,2,1,1,2,1,3,0,Does not support,Good,2,2,2,2,2,10,4,Rarely,30-49,Non-White,"Republican, or leans Republican",Upper income,Man,Man
3,very bad,2,3,3,3,2,3,2,1,3,1,1,2,0,Does not support,Bad,1,1,1,2,1,6,4,Rarely,30-49,White,"Republican, or leans Republican",Middle income,Man,Man
4,very bad,1,2,3,1,2,2,2,1,3,2,2,1,0,Does not support,Bad,2,1,0,2,2,7,5,Never,30-49,Non-White,"Democrat, or leans Democrat",Lower income,Man,Man
3,somewhat bad,3,3,2,4,3,3,1,1,1,2,2,2,0,Does not support,Bad,1,2,0,1,1,5,3,Sometimes,18-29,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
2,somewhat good,2,2,3,3,3,3,2,2,2,1,2,3,1,Supports,Good,2,1,1,1,1,6,4,Rarely,30-49,White,"Democrat, or leans Democrat",Upper income,Woman,Woman/Other
2,somewhat bad,2,3,4,3,3,3,2,2,2,1,1,2,1,Supports,Bad,1,0,1,1,1,4,4,Rarely,30-49,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,somewhat bad,3,1,3,1,3,1,2,1,2,1,2,2,0,Does not support,Bad,0,1,0,1,0,2,3,Sometimes,30-49,White,"Democrat, or leans Democrat",Middle income,Man,Man
3,very bad,3,1,2,2,1,3,4,1,3,1,1,2,0,Does not support,Bad,0,2,2,0,1,5,3,Sometimes,65+,White,"Republican, or leans Republican",Middle income,Man,Man
3,somewhat good,2,1,2,1,2,2,2,1,1,1,1,3,0,Does not support,Good,0,2,0,2,2,6,4,Rarely,30-49,White,"Republican, or leans Republican",Upper income,Man,Man
4,somewhat bad,2,3,2,2,2,2,2,1,3,1,1,2,0,Does not support,Bad,1,2,2,2,2,9,4,Rarely,30-49,White,"Republican, or leans Republican",Middle income,Man,Man
4,somewhat bad,3,1,3,1,1,1,4,1,2,2,2,2,0,Does not support,Bad,0,1,0,0,0,1,3,Sometimes,65+,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
1,somewhat bad,1,3,3,3,3,3,4,1,3,1,1,1,1,Supports,Bad,1,1,1,1,1,5,5,Never,65+,White,"Republican, or leans Republican",Lower income,Man,Man
4,somewhat bad,2,2,2,2,2,2,2,1,1,1,1,3,0,Does not support,Bad,2,2,2,2,2,10,4,Rarely,30-49,White,"Republican, or leans Republican",Upper income,Man,Man
3,somewhat bad,1,3,3,3,3,3,3,2,2,2,2,1,0,Does not support,Bad,1,1,1,1,1,5,5,Never,50-64,Non-White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
4,somewhat bad,2,1,4,1,3,1,4,1,2,1,1,3,0,Does not support,Bad,0,0,0,1,0,1,4,Rarely,65+,White,"Republican, or leans Republican",Upper income,Man,Man
4,somewhat bad,3,1,4,1,3,1,4,1,2,2,2,3,0,Does not support,Bad,0,0,0,1,0,1,3,Sometimes,65+,Non-White,"Democrat, or leans Democrat",Upper income,Man,Man
2,somewhat good,1,3,3,3,3,3,3,2,2,2,2,2,1,Supports,Good,1,1,1,1,1,5,5,Never,50-64,Non-White,"Democrat, or leans Democrat",Middle income,Woman,Woman/Other
3,somewhat bad,2,3,3,3,3,2,2,2,1,3,2,3,0,Does not support,Bad,1,1,1,1,2,6,4,Rarely,30-49,Non-White,"Democrat, or leans Democrat",Upper income,Woman,Woman/Other
3,very bad,2,3,3,3,3,3,2,2,1,1,2,2,0,Does not support,Bad,1,1,1,1,1,5,4,Rarely,30-49,White,"Democrat, or leans Democrat",Middle income,Woman,Woman/Other
1,very bad,3,1,1,1,1,1,2,1,3,1,1,3,1,Supports,Bad,0,0,0,0,0,0,3,Sometimes,30-49,White,"Republican, or leans Republican",Upper income,Man,Man
2,somewhat bad,3,3,2,1,3,3,2,1,2,1,1,2,1,Supports,Bad,1,2,0,1,1,5,3,Sometimes,30-49,White,"Republican, or leans Republican",Middle income,Man,Man
3,somewhat bad,3,3,2,1,2,4,2,2,2,1,1,2,0,Does not support,Bad,1,2,0,2,0,5,3,Sometimes,30-49,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,very bad,1,2,3,3,1,1,2,2,2,1,1,1,0,Does not support,Bad,2,1,1,0,0,4,5,Never,30-49,White,"Republican, or leans Republican",Lower income,Woman,Woman/Other
3,somewhat bad,2,3,1,1,3,1,2,2,1,1,1,2,0,Does not support,Bad,1,0,0,1,0,2,4,Rarely,30-49,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,somewhat bad,2,2,3,1,2,3,2,3,2,5,2,2,0,Does not support,Bad,2,1,0,2,1,6,4,Rarely,30-49,Non-White,"Democrat, or leans Democrat",Middle income,Other,Woman/Other
2,very bad,1,2,2,2,2,2,2,1,2,2,2,2,1,Supports,Bad,2,2,2,2,2,10,5,Never,30-49,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
1,very bad,1,3,2,3,2,3,1,1,1,1,1,2,1,Supports,Bad,1,2,1,2,1,7,5,Never,18-29,White,"Republican, or leans Republican",Middle income,Man,Man
3,somewhat bad,1,1,2,1,2,1,4,1,1,3,2,3,0,Does not support,Bad,0,2,0,2,0,4,5,Never,65+,Non-White,"Democrat, or leans Democrat",Upper income,Man,Man
4,somewhat bad,2,3,2,3,3,3,2,1,1,1,1,1,0,Does not support,Bad,1,2,1,1,1,6,4,Rarely,30-49,White,"Republican, or leans Republican",Lower income,Man,Man
2,somewhat bad,3,2,2,2,2,2,1,2,2,1,1,2,1,Supports,Bad,2,2,2,2,2,10,3,Sometimes,18-29,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,somewhat good,3,3,4,1,3,3,2,2,2,1,1,2,0,Does not support,Good,1,0,0,1,1,3,3,Sometimes,30-49,White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
4,somewhat bad,2,3,3,1,1,3,4,1,3,1,2,3,0,Does not support,Bad,1,1,0,0,1,3,4,Rarely,65+,White,"Democrat, or leans Democrat",Upper income,Man,Man
3,somewhat bad,2,3,3,3,3,3,2,2,1,1,1,3,0,Does not support,Bad,1,1,1,1,1,5,4,Rarely,30-49,White,"Republican, or leans Republican",Upper income,Woman,Woman/Other
2,somewhat good,3,1,4,1,1,4,2,2,1,1,2,3,1,Supports,Good,0,0,0,0,0,0,3,Sometimes,30-49,White,"Democrat, or leans Democrat",Upper income,Woman,Woman/Other
3,somewhat good,2,1,1,1,1,1,3,1,1,2,2,3,0,Does not support,Good,0,0,0,0,0,0,4,Rarely,50-64,Non-White,"Democrat, or leans Democrat",Upper income,Man,Man
3,somewhat good,3,3,3,1,1,1,3,1,2,1,1,2,0,Does not support,Good,1,1,0,0,0,2,3,Sometimes,50-64,White,"Republican, or leans Republican",Middle income,Man,Man
2,somewhat bad,3,3,3,3,3,3,1,1,2,1,2,1,1,Supports,Bad,1,1,1,1,1,5,3,Sometimes,18-29,White,"Democrat, or leans Democrat",Lower income,Man,Man
3,very bad,1,1,3,1,3,1,4,2,1,1,9,3,0,Does not support,Bad,0,1,0,1,0,2,5,Never,65+,White,Other,Upper income,Woman,Woman/Other
2,somewhat bad,3,3,1,1,3,2,2,2,1,1,2,1,1,Supports,Bad,1,0,0,1,2,4,3,Sometimes,30-49,White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
2,somewhat good,3,1,1,1,1,1,3,1,2,5,2,2,1,Supports,Good,0,0,0,0,0,0,3,Sometimes,50-64,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
4,somewhat bad,3,1,4,1,1,4,1,2,2,1,2,2,0,Does not support,Bad,0,0,0,0,0,0,3,Sometimes,18-29,White,"Democrat, or leans Democrat",Middle income,Woman,Woman/Other
4,somewhat bad,1,1,2,1,1,1,3,2,2,1,2,1,0,Does not support,Bad,0,2,0,0,0,2,5,Never,50-64,White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
2,somewhat bad,1,3,3,1,3,1,2,1,1,1,2,3,1,Supports,Bad,1,1,0,1,0,3,5,Never,30-49,White,"Democrat, or leans Democrat",Upper income,Man,Man
3,somewhat bad,3,1,1,1,4,1,4,1,1,1,1,2,0,Does not support,Bad,0,0,0,0,0,0,3,Sometimes,65+,White,"Republican, or leans Republican",Middle income,Man,Man
4,somewhat good,1,2,2,2,1,2,3,1,3,1,1,2,0,Does not support,Good,2,2,2,0,2,8,5,Never,50-64,White,"Republican, or leans Republican",Middle income,Man,Man
4,somewhat bad,3,1,1,1,1,1,4,1,2,3,2,2,0,Does not support,Bad,0,0,0,0,0,0,3,Sometimes,65+,Non-White,"Democrat, or leans Democrat",Middle income,Man,Man
2,very bad,3,3,3,3,3,3,2,2,3,5,2,1,1,Supports,Bad,1,1,1,1,1,5,3,Sometimes,30-49,Non-White,"Democrat, or leans Democrat",Lower income,Woman,Woman/Other
3,somewhat good,3,1,1,2,1,1,3,2,1,2,1,2,0,Does not support,Good,0,0,2,0,0,2,3,Sometimes,50-64,Non-White,"Republican, or leans Republican",Middle income,Woman,Woman/Other
2,very bad,3,3,3,3,3,3,2,1,1,3,1,1,1,Supports,Bad,1,1,1,1,1,5,3,Sometimes,30-49,Non-White,"Republican, or leans Republican",Lower income,Man,Man
